表章項目,年齢5歳階級,男女別,全国・都道府県,時間軸（年月日現在）,@unit,$
人口,15～19歳,女,静岡県,2022年10月1日現在,人,79005
人口,15～19歳,女,愛知県,2022年10月1日現在,人,170009
人口,15～19歳,女,三重県,2022年10月1日現在,人,39325
人口,15～19歳,女,滋賀県,2022年10月1日現在,人,33906
人口,15～19歳,女,京都府,2022年10月1日現在,人,56363
人口,15～19歳,女,大阪府,2022年10月1日現在,人,188441
人口,15～19歳,女,兵庫県,2022年10月1日現在,人,120170
人口,15～19歳,女,奈良県,2022年10月1日現在,人,30093
人口,15～19歳,女,和歌山県,2022年10月1日現在,人,19203
人口,15～19歳,女,鳥取県,2022年10月1日現在,人,12231
人口,15～19歳,女,島根県,2022年10月1日現在,人,14288
人口,15～19歳,女,岡山県,2022年10月1日現在,人,41592
人口,15～19歳,女,広島県,2022年10月1日現在,人,61637
人口,15～19歳,女,山口県,2022年10月1日現在,人,28065
人口,15～19歳,女,徳島県,2022年10月1日現在,人,14208
人口,15～19歳,女,香川県,2022年10月1日現在,人,20860
人口,15～19歳,女,愛媛県,2022年10月1日現在,人,27706
人口,15～19歳,女,高知県,2022年10月1日現在,人,13947
人口,15～19歳,女,福岡県,2022年10月1日現在,人,113801
人口,15～19歳,女,佐賀県,2022年10月1日現在,人,19083
人口,15～19歳,女,長崎県,2022年10月1日現在,人,27946
人口,15～19歳,女,熊本県,2022年10月1日現在,人,38581
人口,15～19歳,女,大分県,2022年10月1日現在,人,24046
人口,15～19歳,女,宮崎県,2022年10月1日現在,人,23398
人口,15～19歳,女,鹿児島県,2022年10月1日現在,人,33852
人口,15～19歳,女,沖縄県,2022年10月1日現在,人,37910
人口,20～24歳,男女計,全国,2022年10月1日現在,人,6263291
人口,20～24歳,男女計,北海道,2022年10月1日現在,人,227311
人口,20～24歳,男女計,青森県,2022年10月1日現在,人,44800
人口,20～24歳,男女計,岩手県,2022年10月1日現在,人,45100
人口,20～24歳,男女計,宮城県,2022年10月1日現在,人,122953
人口,20～24歳,男女計,秋田県,2022年10月1日現在,人,28941
人口,20～24歳,男女計,山形県,2022年10月1日現在,人,40491
人口,20～24歳,男女計,福島県,2022年10月1日現在,人,69970
人口,20～24歳,男女計,茨城県,2022年10月1日現在,人,134386
人口,20～24歳,男女計,栃木県,2022年10月1日現在,人,85000
人口,20～24歳,男女計,群馬県,2022年10月1日現在,人,89650
人口,20～24歳,男女計,埼玉県,2022年10月1日現在,人,386762
人口,20～24歳,男女計,千葉県,2022年10月1日現在,人,325578
人口,20～24歳,男女計,東京都,2022年10月1日現在,人,852177
人口,20～24歳,男女計,神奈川県,2022年10月1日現在,人,510995
人口,20～24歳,男女計,新潟県,2022年10月1日現在,人,87560
人口,20～24歳,男女計,富山県,2022年10月1日現在,人,43413
人口,20～24歳,男女計,石川県,2022年10月1日現在,人,58845
人口,20～24歳,男女計,福井県,2022年10月1日現在,人,31315
人口,20～24歳,男女計,山梨県,2022年10月1日現在,人,39228
人口,20～24歳,男女計,長野県,2022年10月1日現在,人,79267
人口,20～24歳,男女計,岐阜県,2022年10月1日現在,人,91951
人口,20～24歳,男女計,静岡県,2022年10月1日現在,人,151780
人口,20～24歳,男女計,愛知県,2022年10月1日現在,人,411152
人口,20～24歳,男女計,三重県,2022年10月1日現在,人,79416
人口,20～24歳,男女計,滋賀県,2022年10月1日現在,人,76109
人口,20～24歳,男女計,京都府,2022年10月1日現在,人,157685
人口,20～24歳,男女計,大阪府,2022年10月1日現在,人,494844
人口,20～24歳,男女計,兵庫県,2022年10月1日現在,人,261810
人口,20～24歳,男女計,奈良県,2022年10月1日現在,人,62704
人口,20～24歳,男女計,和歌山県,2022年10月1日現在,人,34309
人口,20～24歳,男女計,鳥取県,2022年10月1日現在,人,22350
人口,20～24歳,男女計,島根県,2022年10月1日現在,人,25353
人口,20～24歳,男女計,岡山県,2022年10月1日現在,人,97174
人口,20～24歳,男女計,広島県,2022年10月1日現在,人,132786
人口,20～24歳,男女計,山口県,2022年10月1日現在,人,55283
人口,20～24歳,男女計,徳島県,2022年10月1日現在,人,30118
人口,20～24歳,男女計,香川県,2022年10月1日現在,人,39219
人口,20～24歳,男女計,愛媛県,2022年10月1日現在,人,51431
人口,20～24歳,男女計,高知県,2022年10月1日現在,人,26629
人口,20～24歳,男女計,福岡県,2022年10月1日現在,人,279484
人口,20～24歳,男女計,佐賀県,2022年10月1日現在,人,35489
人口,20～24歳,男女計,長崎県,2022年10月1日現在,人,48627
人口,20～24歳,男女計,熊本県,2022年10月1日現在,人,74118
人口,20～24歳,男女計,大分県,2022年10月1日現在,人,46783
人口,20～24歳,男女計,宮崎県,2022年10月1日現在,人,39842
人口,20～24歳,男女計,鹿児島県,2022年10月1日現在,人,60714
人口,20～24歳,男女計,沖縄県,2022年10月1日現在,人,72389
人口,20～24歳,男,全国,2022年10月1日現在,人,3215850
人口,20～24歳,男,北海道,2022年10月1日現在,人,117958
人口,20～24歳,男,青森県,2022年10月1日現在,人,23755
人口,20～24歳,男,岩手県,2022年10月1日現在,人,23935
人口,20～24歳,男,宮城県,2022年10月1日現在,人,63503
人口,20～24歳,男,秋田県,2022年10月1日現在,人,15678
人口,20～24歳,男,山形県,2022年10月1日現在,人,21688
人口,20～24歳,男,福島県,2022年10月1日現在,人,38447
人口,20～24歳,男,茨城県,2022年10月1日現在,人,71960
人口,20～24歳,男,栃木県,2022年10月1日現在,人,44544
人口,20～24歳,男,群馬県,2022年10月1日現在,人,47300
人口,20～24歳,男,埼玉県,2022年10月1日現在,人,198069
人口,20～24歳,男,千葉県,2022年10月1日現在,人,167688
人口,20～24歳,男,東京都,2022年10月1日現在,人,426471
人口,20～24歳,男,神奈川県,2022年10月1日現在,人,261815
人口,20～24歳,男,新潟県,2022年10月1日現在,人,46285
人口,20～24歳,男,富山県,2022年10月1日現在,人,23733
人口,20～24歳,男,石川県,2022年10月1日現在,人,31809
人口,20～24歳,男,福井県,2022年10月1日現在,人,17036
人口,20～24歳,男,山梨県,2022年10月1日現在,人,20726
人口,20～24歳,男,長野県,2022年10月1日現在,人,41818
人口,20～24歳,男,岐阜県,2022年10月1日現在,人,47240
人口,20～24歳,男,静岡県,2022年10月1日現在,人,80215
人口,20～24歳,男,愛知県,2022年10月1日現在,人,213541
人口,20～24歳,男,三重県,2022年10月1日現在,人,41047
人口,20～24歳,男,滋賀県,2022年10月1日現在,人,40377
人口,20～24歳,男,京都府,2022年10月1日現在,人,80103
人口,20～24歳,男,大阪府,2022年10月1日現在,人,246800
人口,20～24歳,男,兵庫県,2022年10月1日現在,人,129521
人口,20～24歳,男,奈良県,2022年10月1日現在,人,30875
人口,20～24歳,男,和歌山県,2022年10月1日現在,人,17776
人口,20～24歳,男,鳥取県,2022年10月1日現在,人,11835
人口,20～24歳,男,島根県,2022年10月1日現在,人,13375
人口,20～24歳,男,岡山県,2022年10月1日現在,人,49229
人口,20～24歳,男,広島県,2022年10月1日現在,人,69442
人口,20～24歳,男,山口県,2022年10月1日現在,人,29296
人口,20～24歳,男,徳島県,2022年10月1日現在,人,15651
人口,20～24歳,男,香川県,2022年10月1日現在,人,20814
人口,20～24歳,男,愛媛県,2022年10月1日現在,人,26773
人口,20～24歳,男,高知県,2022年10月1日現在,人,14292
人口,20～24歳,男,福岡県,2022年10月1日現在,人,140560
人口,20～24歳,男,佐賀県,2022年10月1日現在,人,17791
人口,20～24歳,男,長崎県,2022年10月1日現在,人,24883
人口,20～24歳,男,熊本県,2022年10月1日現在,人,37737
人口,20～24歳,男,大分県,2022年10月1日現在,人,24596
人口,20～24歳,男,宮崎県,2022年10月1日現在,人,20293
人口,20～24歳,男,鹿児島県,2022年10月1日現在,人,30292
人口,20～24歳,男,沖縄県,2022年10月1日現在,人,37278
人口,20～24歳,女,全国,2022年10月1日現在,人,3047441
人口,20～24歳,女,北海道,2022年10月1日現在,人,109353
人口,20～24歳,女,青森県,2022年10月1日現在,人,21045
人口,20～24歳,女,岩手県,2022年10月1日現在,人,21165
人口,20～24歳,女,宮城県,2022年10月1日現在,人,59450
人口,20～24歳,女,秋田県,2022年10月1日現在,人,13263
人口,20～24歳,女,山形県,2022年10月1日現在,人,18803
人口,20～24歳,女,福島県,2022年10月1日現在,人,31523
人口,20～24歳,女,茨城県,2022年10月1日現在,人,62426
人口,20～24歳,女,栃木県,2022年10月1日現在,人,40456
人口,20～24歳,女,群馬県,2022年10月1日現在,人,42350
人口,20～24歳,女,埼玉県,2022年10月1日現在,人,188693
人口,20～24歳,女,千葉県,2022年10月1日現在,人,157890
人口,20～24歳,女,東京都,2022年10月1日現在,人,425706
人口,20～24歳,女,神奈川県,2022年10月1日現在,人,249180
人口,20～24歳,女,新潟県,2022年10月1日現在,人,41275
人口,20～24歳,女,富山県,2022年10月1日現在,人,19680
人口,20～24歳,女,石川県,2022年10月1日現在,人,27036
人口,20～24歳,女,福井県,2022年10月1日現在,人,14279
人口,20～24歳,女,山梨県,2022年10月1日現在,人,18502
人口,20～24歳,女,長野県,2022年10月1日現在,人,37449
人口,20～24歳,女,岐阜県,2022年10月1日現在,人,44711
人口,20～24歳,女,静岡県,2022年10月1日現在,人,71565
人口,20～24歳,女,愛知県,2022年10月1日現在,人,197611
人口,20～24歳,女,三重県,2022年10月1日現在,人,38369
人口,20～24歳,女,滋賀県,2022年10月1日現在,人,35732
人口,20～24歳,女,京都府,2022年10月1日現在,人,77582
人口,20～24歳,女,大阪府,2022年10月1日現在,人,248044
人口,20～24歳,女,兵庫県,2022年10月1日現在,人,132289
人口,20～24歳,女,奈良県,2022年10月1日現在,人,31829
人口,20～24歳,女,和歌山県,2022年10月1日現在,人,16533
人口,20～24歳,女,鳥取県,2022年10月1日現在,人,10515
人口,20～24歳,女,島根県,2022年10月1日現在,人,11978
人口,20～24歳,女,岡山県,2022年10月1日現在,人,47945
人口,20～24歳,女,広島県,2022年10月1日現在,人,63344
人口,20～24歳,女,山口県,2022年10月1日現在,人,25987
人口,20～24歳,女,徳島県,2022年10月1日現在,人,14467
人口,20～24歳,女,香川県,2022年10月1日現在,人,18405
人口,20～24歳,女,愛媛県,2022年10月1日現在,人,24658
人口,20～24歳,女,高知県,2022年10月1日現在,人,12337
人口,20～24歳,女,福岡県,2022年10月1日現在,人,138924
人口,20～24歳,女,佐賀県,2022年10月1日現在,人,17698
人口,20～24歳,女,長崎県,2022年10月1日現在,人,23744
人口,20～24歳,女,熊本県,2022年10月1日現在,人,36381
人口,20～24歳,女,大分県,2022年10月1日現在,人,22187
人口,20～24歳,女,宮崎県,2022年10月1日現在,人,19549
人口,20～24歳,女,鹿児島県,2022年10月1日現在,人,30422
人口,20～24歳,女,沖縄県,2022年10月1日現在,人,35111
人口,25～29歳,男女計,全国,2022年10月1日現在,人,6412065
人口,25～29歳,男女計,北海道,2022年10月1日現在,人,226244
人口,25～29歳,男女計,青森県,2022年10月1日現在,人,44808
人口,25～29歳,男女計,岩手県,2022年10月1日現在,人,45821
人口,25～29歳,男女計,宮城県,2022年10月1日現在,人,115393
人口,25～29歳,男女計,秋田県,2022年10月1日現在,人,30980
人口,25～29歳,男女計,山形県,2022年10月1日現在,人,40036
人口,25～29歳,男女計,福島県,2022年10月1日現在,人,74981
人口,25～29歳,男女計,茨城県,2022年10月1日現在,人,132998
人口,25～29歳,男女計,栃木県,2022年10月1日現在,人,88409
人口,25～29歳,男女計,群馬県,2022年10月1日現在,人,88508
人口,25～29歳,男女計,埼玉県,2022年10月1日現在,人,396795
人口,25～29歳,男女計,千葉県,2022年10月1日現在,人,333444
人口,25～29歳,男女計,東京都,2022年10月1日現在,人,1014113
人口,25～29歳,男女計,神奈川県,2022年10月1日現在,人,531633
人口,25～29歳,男女計,新潟県,2022年10月1日現在,人,87175
人口,25～29歳,男女計,富山県,2022年10月1日現在,人,44586
人口,25～29歳,男女計,石川県,2022年10月1日現在,人,52712
人口,25～29歳,男女計,福井県,2022年10月1日現在,人,33628
人口,25～29歳,男女計,山梨県,2022年10月1日現在,人,35624
人口,25～29歳,男女計,長野県,2022年10月1日現在,人,84559
人口,25～29歳,男女計,岐阜県,2022年10月1日現在,人,85045
人口,25～29歳,男女計,静岡県,2022年10月1日現在,人,161788
人口,25～29歳,男女計,愛知県,2022年10月1日現在,人,425122
人口,25～29歳,男女計,三重県,2022年10月1日現在,人,81092
人口,25～29歳,男女計,滋賀県,2022年10月1日現在,人,70506
人口,25～29歳,男女計,京都府,2022年10月1日現在,人,137752
人口,25～29歳,男女計,大阪府,2022年10月1日現在,人,498979
人口,25～29歳,男女計,兵庫県,2022年10月1日現在,人,248102
人口,25～29歳,男女計,奈良県,2022年10月1日現在,人,53157
人口,25～29歳,男女計,和歌山県,2022年10月1日現在,人,35200
人口,25～29歳,男女計,鳥取県,2022年10月1日現在,人,21733
人口,25～29歳,男女計,島根県,2022年10月1日現在,人,26184
人口,25～29歳,男女計,岡山県,2022年10月1日現在,人,90857
人口,25～29歳,男女計,広島県,2022年10月1日現在,人,131662
人口,25～29歳,男女計,山口県,2022年10月1日現在,人,52349
人口,25～29歳,男女計,徳島県,2022年10月1日現在,人,27837
人口,25～29歳,男女計,香川県,2022年10月1日現在,人,39174
人口,25～29歳,男女計,愛媛県,2022年10月1日現在,人,52405
人口,25～29歳,男女計,高知県,2022年10月1日現在,人,25230
人口,25～29歳,男女計,福岡県,2022年10月1日現在,人,267323
人口,25～29歳,男女計,佐賀県,2022年10月1日現在,人,33845
人口,25～29歳,男女計,長崎県,2022年10月1日現在,人,48750
人口,25～29歳,男女計,熊本県,2022年10月1日現在,人,73165
人口,25～29歳,男女計,大分県,2022年10月1日現在,人,45089
人口,25～29歳,男女計,宮崎県,2022年10月1日現在,人,40887
人口,25～29歳,男女計,鹿児島県,2022年10月1日現在,人,60714
人口,25～29歳,男女計,沖縄県,2022年10月1日現在,人,75671
人口,25～29歳,男,全国,2022年10月1日現在,人,3294537
人口,25～29歳,男,北海道,2022年10月1日現在,人,115596
人口,25～29歳,男,青森県,2022年10月1日現在,人,23565
人口,25～29歳,男,岩手県,2022年10月1日現在,人,24360
人口,25～29歳,男,宮城県,2022年10月1日現在,人,59546
人口,25～29歳,男,秋田県,2022年10月1日現在,人,16414
人口,25～29歳,男,山形県,2022年10月1日現在,人,21307
人口,25～29歳,男,福島県,2022年10月1日現在,人,40191
人口,25～29歳,男,茨城県,2022年10月1日現在,人,72378
人口,25～29歳,男,栃木県,2022年10月1日現在,人,47949
人口,25～29歳,男,群馬県,2022年10月1日現在,人,47562
人口,25～29歳,男,埼玉県,2022年10月1日現在,人,203264
人口,25～29歳,男,千葉県,2022年10月1日現在,人,171620
人口,25～29歳,男,東京都,2022年10月1日現在,人,511086
人口,25～29歳,男,神奈川県,2022年10月1日現在,人,277134
人口,25～29歳,男,新潟県,2022年10月1日現在,人,45724
人口,25～29歳,男,富山県,2022年10月1日現在,人,24025
人口,25～29歳,男,石川県,2022年10月1日現在,人,27889
人口,25～29歳,男,福井県,2022年10月1日現在,人,17895
人口,25～29歳,男,山梨県,2022年10月1日現在,人,19091
人口,25～29歳,男,長野県,2022年10月1日現在,人,44977
人口,25～29歳,男,岐阜県,2022年10月1日現在,人,44195
人口,25～29歳,男,静岡県,2022年10月1日現在,人,86285
人口,25～29歳,男,愛知県,2022年10月1日現在,人,223484
人口,25～29歳,男,三重県,2022年10月1日現在,人,43479
人口,25～29歳,男,滋賀県,2022年10月1日現在,人,37556
人口,25～29歳,男,京都府,2022年10月1日現在,人,69646
人口,25～29歳,男,大阪府,2022年10月1日現在,人,246867
人口,25～29歳,男,兵庫県,2022年10月1日現在,人,122599
人口,25～29歳,男,奈良県,2022年10月1日現在,人,25874
人口,25～29歳,男,和歌山県,2022年10月1日現在,人,17835
人口,25～29歳,男,鳥取県,2022年10月1日現在,人,10932
人口,25～29歳,男,島根県,2022年10月1日現在,人,13878
人口,25～29歳,男,岡山県,2022年10月1日現在,人,46370
人口,25～29歳,男,広島県,2022年10月1日現在,人,68374
人口,25～29歳,男,山口県,2022年10月1日現在,人,27456
人口,25～29歳,男,徳島県,2022年10月1日現在,人,14578
人口,25～29歳,男,香川県,2022年10月1日現在,人,20225
人口,25～29歳,男,愛媛県,2022年10月1日現在,人,27206
人口,25～29歳,男,高知県,2022年10月1日現在,人,13254
人口,25～29歳,男,福岡県,2022年10月1日現在,人,131971
人口,25～29歳,男,佐賀県,2022年10月1日現在,人,17127
人口,25～29歳,男,長崎県,2022年10月1日現在,人,24557
人口,25～29歳,男,熊本県,2022年10月1日現在,人,36734
人口,25～29歳,男,大分県,2022年10月1日現在,人,23443
人口,25～29歳,男,宮崎県,2022年10月1日現在,人,20735
人口,25～29歳,男,鹿児島県,2022年10月1日現在,人,29981
人口,25～29歳,男,沖縄県,2022年10月1日現在,人,38323
人口,25～29歳,女,全国,2022年10月1日現在,人,3117528
人口,25～29歳,女,北海道,2022年10月1日現在,人,110648
人口,25～29歳,女,青森県,2022年10月1日現在,人,21243
人口,25～29歳,女,岩手県,2022年10月1日現在,人,21461
人口,25～29歳,女,宮城県,2022年10月1日現在,人,55847
人口,25～29歳,女,秋田県,2022年10月1日現在,人,14566
人口,25～29歳,女,山形県,2022年10月1日現在,人,18729
人口,25～29歳,女,福島県,2022年10月1日現在,人,34790
人口,25～29歳,女,茨城県,2022年10月1日現在,人,60620
人口,25～29歳,女,栃木県,2022年10月1日現在,人,40460
人口,25～29歳,女,群馬県,2022年10月1日現在,人,40946
人口,25～29歳,女,埼玉県,2022年10月1日現在,人,193531
人口,25～29歳,女,千葉県,2022年10月1日現在,人,161824
人口,25～29歳,女,東京都,2022年10月1日現在,人,503027
人口,25～29歳,女,神奈川県,2022年10月1日現在,人,254499
人口,25～29歳,女,新潟県,2022年10月1日現在,人,41451
人口,25～29歳,女,富山県,2022年10月1日現在,人,20561
人口,25～29歳,女,石川県,2022年10月1日現在,人,24823
人口,25～29歳,女,福井県,2022年10月1日現在,人,15733
人口,25～29歳,女,山梨県,2022年10月1日現在,人,16533
人口,25～29歳,女,長野県,2022年10月1日現在,人,39582
人口,25～29歳,女,岐阜県,2022年10月1日現在,人,40850
人口,25～29歳,女,静岡県,2022年10月1日現在,人,75503
人口,25～29歳,女,愛知県,2022年10月1日現在,人,201638
人口,25～29歳,女,三重県,2022年10月1日現在,人,37613
人口,25～29歳,女,滋賀県,2022年10月1日現在,人,32950
人口,25～29歳,女,京都府,2022年10月1日現在,人,68106
人口,25～29歳,女,大阪府,2022年10月1日現在,人,252112
人口,25～29歳,女,兵庫県,2022年10月1日現在,人,125503
人口,25～29歳,女,奈良県,2022年10月1日現在,人,27283
人口,25～29歳,女,和歌山県,2022年10月1日現在,人,17365
人口,25～29歳,女,鳥取県,2022年10月1日現在,人,10801
人口,25～29歳,女,島根県,2022年10月1日現在,人,12306
人口,25～29歳,女,岡山県,2022年10月1日現在,人,44487
人口,25～29歳,女,広島県,2022年10月1日現在,人,63288
人口,25～29歳,女,山口県,2022年10月1日現在,人,24893
人口,25～29歳,女,徳島県,2022年10月1日現在,人,13259
人口,25～29歳,女,香川県,2022年10月1日現在,人,18949
人口,25～29歳,女,愛媛県,2022年10月1日現在,人,25199
人口,25～29歳,女,高知県,2022年10月1日現在,人,11976
人口,25～29歳,女,福岡県,2022年10月1日現在,人,135352
人口,25～29歳,女,佐賀県,2022年10月1日現在,人,16718
人口,25～29歳,女,長崎県,2022年10月1日現在,人,24193
人口,25～29歳,女,熊本県,2022年10月1日現在,人,36431
人口,25～29歳,女,大分県,2022年10月1日現在,人,21646
人口,25～29歳,女,宮崎県,2022年10月1日現在,人,20152
人口,25～29歳,女,鹿児島県,2022年10月1日現在,人,30733
人口,25～29歳,女,沖縄県,2022年10月1日現在,人,37348
人口,30～34歳,男女計,全国,2022年10月1日現在,人,6445672
人口,30～34歳,男女計,北海道,2022年10月1日現在,人,239735
人口,30～34歳,男女計,青森県,2022年10月1日現在,人,50155
人口,30～34歳,男女計,岩手県,2022年10月1日現在,人,51396
人口,30～34歳,男女計,宮城県,2022年10月1日現在,人,118276
人口,30～34歳,男女計,秋田県,2022年10月1日現在,人,35634
人口,30～34歳,男女計,山形県,2022年10月1日現在,人,45611
人口,30～34歳,男女計,福島県,2022年10月1日現在,人,84676
人口,30～34歳,男女計,茨城県,2022年10月1日現在,人,140084
人口,30～34歳,男女計,栃木県,2022年10月1日現在,人,96099
人口,30～34歳,男女計,群馬県,2022年10月1日現在,人,91933
人口,30～34歳,男女計,埼玉県,2022年10月1日現在,人,395821
人口,30～34歳,男女計,千葉県,2022年10月1日現在,人,333361
人口,30～34歳,男女計,東京都,2022年10月1日現在,人,935622
人口,30～34歳,男女計,神奈川県,2022年10月1日現在,人,504227
人口,30～34歳,男女計,新潟県,2022年10月1日現在,人,96981
人口,30～34歳,男女計,富山県,2022年10月1日現在,人,45261
人口,30～34歳,男女計,石川県,2022年10月1日現在,人,53076
人口,30～34歳,男女計,福井県,2022年10月1日現在,人,35849
人口,30～34歳,男女計,山梨県,2022年10月1日現在,人,36616
人口,30～34歳,男女計,長野県,2022年10月1日現在,人,91071
人口,30～34歳,男女計,岐阜県,2022年10月1日現在,人,88971
人口,30～34歳,男女計,静岡県,2022年10月1日現在,人,172404
人口,30～34歳,男女計,愛知県,2022年10月1日現在,人,420027
人口,30～34歳,男女計,三重県,2022年10月1日現在,人,84179
人口,30～34歳,男女計,滋賀県,2022年10月1日現在,人,73062
人口,30～34歳,男女計,京都府,2022年10月1日現在,人,123336
人口,30～34歳,男女計,大阪府,2022年10月1日現在,人,473862
人口,30～34歳,男女計,兵庫県,2022年10月1日現在,人,257525
人口,30～34歳,男女計,奈良県,2022年10月1日現在,人,56710
人口,30～34歳,男女計,和歌山県,2022年10月1日現在,人,39325
人口,30～34歳,男女計,鳥取県,2022年10月1日現在,人,24568
人口,30～34歳,男女計,島根県,2022年10月1日現在,人,28973
人口,30～34歳,男女計,岡山県,2022年10月1日現在,人,90513
人口,30～34歳,男女計,広島県,2022年10月1日現在,人,136237
人口,30～34歳,男女計,山口県,2022年10月1日現在,人,55396
人口,30～34歳,男女計,徳島県,2022年10月1日現在,人,29981
人口,30～34歳,男女計,香川県,2022年10月1日現在,人,43068
人口,30～34歳,男女計,愛媛県,2022年10月1日現在,人,57684
人口,30～34歳,男女計,高知県,2022年10月1日現在,人,26924
人口,30～34歳,男女計,福岡県,2022年10月1日現在,人,265125
人口,30～34歳,男女計,佐賀県,2022年10月1日現在,人,36484
人口,30～34歳,男女計,長崎県,2022年10月1日現在,人,55243
人口,30～34歳,男女計,熊本県,2022年10月1日現在,人,79938
人口,30～34歳,男女計,大分県,2022年10月1日現在,人,48677
人口,30～34歳,男女計,宮崎県,2022年10月1日現在,人,45690
人口,30～34歳,男女計,鹿児島県,2022年10月1日現在,人,68653
人口,30～34歳,男女計,沖縄県,2022年10月1日現在,人,81633
人口,30～34歳,男,全国,2022年10月1日現在,人,3299955
人口,30～34歳,男,北海道,2022年10月1日現在,人,120902
人口,30～34歳,男,青森県,2022年10月1日現在,人,25917
人口,30～34歳,男,岩手県,2022年10月1日現在,人,26620
人口,30～34歳,男,宮城県,2022年10月1日現在,人,60180
人口,30～34歳,男,秋田県,2022年10月1日現在,人,18357
人口,30～34歳,男,山形県,2022年10月1日現在,人,23454
人口,30～34歳,男,福島県,2022年10月1日現在,人,44647
人口,30～34歳,男,茨城県,2022年10月1日現在,人,75167
人口,30～34歳,男,栃木県,2022年10月1日現在,人,51308
人口,30～34歳,男,群馬県,2022年10月1日現在,人,49045
人口,30～34歳,男,埼玉県,2022年10月1日現在,人,205474
人口,30～34歳,男,千葉県,2022年10月1日現在,人,172721
人口,30～34歳,男,東京都,2022年10月1日現在,人,473722
人口,30～34歳,男,神奈川県,2022年10月1日現在,人,261714
人口,30～34歳,男,新潟県,2022年10月1日現在,人,50122
人口,30～34歳,男,富山県,2022年10月1日現在,人,24156
人口,30～34歳,男,石川県,2022年10月1日現在,人,27206
人口,30～34歳,男,福井県,2022年10月1日現在,人,18711
人口,30～34歳,男,山梨県,2022年10月1日現在,人,19224
人口,30～34歳,男,長野県,2022年10月1日現在,人,47218
人口,30～34歳,男,岐阜県,2022年10月1日現在,人,45997
人口,30～34歳,男,静岡県,2022年10月1日現在,人,90602
人口,30～34歳,男,愛知県,2022年10月1日現在,人,222118
人口,30～34歳,男,三重県,2022年10月1日現在,人,44102
人口,30～34歳,男,滋賀県,2022年10月1日現在,人,38251
人口,30～34歳,男,京都府,2022年10月1日現在,人,61792
人口,30～34歳,男,大阪府,2022年10月1日現在,人,235002
人口,30～34歳,男,兵庫県,2022年10月1日現在,人,128643
人口,30～34歳,男,奈良県,2022年10月1日現在,人,27930
人口,30～34歳,男,和歌山県,2022年10月1日現在,人,19846
人口,30～34歳,男,鳥取県,2022年10月1日現在,人,12453
人口,30～34歳,男,島根県,2022年10月1日現在,人,14830
人口,30～34歳,男,岡山県,2022年10月1日現在,人,45826
人口,30～34歳,男,広島県,2022年10月1日現在,人,70820
人口,30～34歳,男,山口県,2022年10月1日現在,人,29046
人口,30～34歳,男,徳島県,2022年10月1日現在,人,15356
人口,30～34歳,男,香川県,2022年10月1日現在,人,22185
人口,30～34歳,男,愛媛県,2022年10月1日現在,人,29446
人口,30～34歳,男,高知県,2022年10月1日現在,人,13603
人口,30～34歳,男,福岡県,2022年10月1日現在,人,130116
人口,30～34歳,男,佐賀県,2022年10月1日現在,人,18038
人口,30～34歳,男,長崎県,2022年10月1日現在,人,27481
人口,30～34歳,男,熊本県,2022年10月1日現在,人,39623
人口,30～34歳,男,大分県,2022年10月1日現在,人,24754
人口,30～34歳,男,宮崎県,2022年10月1日現在,人,22676
人口,30～34歳,男,鹿児島県,2022年10月1日現在,人,32860
人口,30～34歳,男,沖縄県,2022年10月1日現在,人,40694
人口,30～34歳,女,全国,2022年10月1日現在,人,3145717
人口,30～34歳,女,北海道,2022年10月1日現在,人,118833
人口,30～34歳,女,青森県,2022年10月1日現在,人,24238
人口,30～34歳,女,岩手県,2022年10月1日現在,人,24776
人口,30～34歳,女,宮城県,2022年10月1日現在,人,58096
人口,30～34歳,女,秋田県,2022年10月1日現在,人,17277
人口,30～34歳,女,山形県,2022年10月1日現在,人,22157
人口,30～34歳,女,福島県,2022年10月1日現在,人,40029
人口,30～34歳,女,茨城県,2022年10月1日現在,人,64917
人口,30～34歳,女,栃木県,2022年10月1日現在,人,44791
人口,30～34歳,女,群馬県,2022年10月1日現在,人,42888
人口,30～34歳,女,埼玉県,2022年10月1日現在,人,190347
人口,30～34歳,女,千葉県,2022年10月1日現在,人,160640
人口,30～34歳,女,東京都,2022年10月1日現在,人,461900
人口,30～34歳,女,神奈川県,2022年10月1日現在,人,242513
人口,30～34歳,女,新潟県,2022年10月1日現在,人,46859
人口,30～34歳,女,富山県,2022年10月1日現在,人,21105
人口,30～34歳,女,石川県,2022年10月1日現在,人,25870
人口,30～34歳,女,福井県,2022年10月1日現在,人,17138
人口,30～34歳,女,山梨県,2022年10月1日現在,人,17392
人口,30～34歳,女,長野県,2022年10月1日現在,人,43853
人口,30～34歳,女,岐阜県,2022年10月1日現在,人,42974
人口,30～34歳,女,静岡県,2022年10月1日現在,人,81802
人口,30～34歳,女,愛知県,2022年10月1日現在,人,197909
人口,30～34歳,女,三重県,2022年10月1日現在,人,40077
人口,30～34歳,女,滋賀県,2022年10月1日現在,人,34811
人口,30～34歳,女,京都府,2022年10月1日現在,人,61544
人口,30～34歳,女,大阪府,2022年10月1日現在,人,238860
人口,30～34歳,女,兵庫県,2022年10月1日現在,人,128882
人口,30～34歳,女,奈良県,2022年10月1日現在,人,28780
人口,30～34歳,女,和歌山県,2022年10月1日現在,人,19479
人口,30～34歳,女,鳥取県,2022年10月1日現在,人,12115
